id,company_id,company_name,pros_text,cons_text
1,HDFCBANK,,,
2,HDFCBANK,,,
3,HDFCBANK,,,
4,HDFCBANK,,,
5,SBILIFE,,,
6,SBILIFE,,,
7,SBILIFE,,,
8,SBILIFE,,,
9,SBILIFE,,,
10,INFY,,,
11,INFY,,,
14,TCS,,,
15,TCS,,,
16,TCS,,,
