id,company_id,company_name,sales_growth_3yr_pct,sales_growth_5yr_pct,profit_growth_3yr_pct,profit_growth_5yr_pct,roe_3yr_avg_pct,roe_5yr_avg_pct,roce_3yr_avg_pct,roce_5yr_avg_pct
1,HDFCBANK,,,,,,,,,
2,HDFCBANK,,,,,,,,,
3,HDFCBANK,,,,,,,,,
4,HDFCBANK,,,,,,,,,
5,INFY,,,,,,,,,
6,INFY,,,,,,,,,
7,INFY,,,,,,,,,
8,INFY,,,,,,,,,
9,SBILIFE,,,,,,,,,
10,SBILIFE,,,,,,,,,
11,SBILIFE,,,,,,,,,
12,SBILIFE,,,,,,,,,
13,TCS,,,,,,,,,
14,TCS,,,,,,,,,
15,TCS,,,,,,,,,
16,TCS,,,,,,,,,
